Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.9953252824308532,0.9954498533124535,0.9953252824308532,0.9953140593263042,0.9999367998141744
XGBoost,0.9952278924814959,0.9953342965694852,0.9952278924814959,0.9952172178652443,0.9999166874886657
Decision Tree,0.9946435527853525,0.9946599560096626,0.9946435527853525,0.9946376843102711,0.9990671065783671
Random Forest,0.9897740553174912,0.9900721064442,0.9897740553174912,0.9897348623646982,0.9997924139834203
Logistic Regression,0.9680560966108298,0.96821755707796,0.9680560966108298,0.9671769469883922,0.9884525877511955
K-Nearest Neighbors,0.775808336579665,0.7621191551047939,0.775808336579665,0.7558158699775619,0.8982567066069633
