Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9571484222828204,0.9559843612057006,0.9881371398774605,0.9717948717948718,0.9582863553992963
Random Forest,0.9828593689131282,0.9863724853990915,0.9907443618824143,0.9885535900104059,0.9983192102115157
Decision Tree,0.9865601869887027,0.9952662721893492,0.986703167774736,0.9909662215239592,0.9934730601532901
XGBoost,0.987923646279704,0.9985467036596645,0.9852691956720114,0.9918635170603675,0.9985643212059361
K-Nearest Neighbors,0.8691079080638878,0.8853697161651846,0.9474644766001825,0.9153652392947104,0.906851798503804
