model,gini,ks,psi,roc_auc,f1_weighted
Logistic Regression,0.999817156294986,0.9998900131984162,0.00020098849434205463,0.9718019774830682,0.9129879131321333
Random Forest,0.9865879699878191,0.8959165716440557,0.0017004550693262694,0.9672830853565578,0.9423389232698731
XGBoost,0.9392864437900106,0.8340736866678039,6.845033231047856e-05,0.9407985878976642,0.9289831142753822
Gradient Boosting,0.9385124210264837,0.8340736866678039,6.548427999180085e-05,0.9499014724167653,0.9359373603970236
K-Nearest Neighbors,0.8404086832709325,0.7252256599956305,0.003696422343199906,0.8876645311784496,0.720734375112198
Decision Tree,0.8340736866678038,0.8340736866678039,0.0,0.9452813194763088,0.9375601862310007
