Model,accuracy,precision,recall,f1,cv_best_f1,roc_auc
Logistic Regression,0.9635761589403974,0.9634580263854379,0.9635761589403974,0.9624244278515033,0.9618099336284909,0.9868469707450462
Random Forest,0.9917218543046358,0.9921005794855393,0.9917218543046358,0.9917229605563678,0.9906832872889254,0.9997950295780477
Gradient Boosting,0.9998052201012856,0.9998053866578565,0.9998052201012856,0.9998051963958574,0.9999025963294544,0.9999994988298431
XGBoost,0.9998052201012856,0.9998053866578565,0.9998052201012856,0.9998051963958574,0.9998782549423328,0.9999996077798772
K-Nearest Neighbors,0.7177639267627581,0.691106270099568,0.7177639267627581,0.6909789330520099,0.6928231758694048,0.8409258957456166
Decision Tree,0.9998052201012856,0.9998053866578565,0.9998052201012856,0.9998051963958574,0.9999025963294544,0.999945097177995
